Curs acadèmic,Any,Codi Oferta,Nom de l’Oferta,Tipus d’estudi,Sigles Universitat responsable,Via d’accés,Nota de tall,Municipi,Nombre de places
2023-2024,2023,956,Química,Grau,URV,Pau/cfgs/FP,9.206,Tarragona,60
2023-2024,2023,981,"Comunicació Audiovisual i Multimèdia ""ERAM""",Grau,UdG,Pau/cfgs/FP,5.000,Salt,50
2023-2024,2023,983,Enginyeria Electrònica Industrial i Automàtica,Grau,UdG,Pau/cfgs/FP,6.316,Girona,50
2023-2024,2023,984,Enginyeria Mecànica,Grau,UdG,Pau/cfgs/FP,6.742,Girona,90
2023-2024,2023,985,Enginyeria Química,Grau,UdG,Pau/cfgs/FP,7.458,Girona,40
2023-2024,2023,986,Fisioteràpia,Grau,UdG,Pau/cfgs/FP,7.440,Salt,150
2023-2024,2023,987,Ciències de l'Activitat Física i de l'Esport,Grau,UdG,Pau/cfgs/FP,6.449,Salt,90
2023-2024,2023,988,"Turisme ""Mediterrani""",Grau,UdG,Pau/cfgs/FP,5.000,Barcelona,100
2023-2024,2023,990,"Turisme ""Formatic Barcelona""",Grau,UdG,Pau/cfgs/FP,5.000,Barcelona,80
2023-2024,2023,991,"Turisme ""Euroaula""",Grau,UdG,Pau/cfgs/FP,5.000,Barcelona,100
2023-2024,2023,992,Gestió Hotelera i Turística,Grau,UdG,Pau/cfgs/FP,5.000,Sant Pol de Mar,30
2023-2024,2023,993,Biologia,Grau,UdG,Pau/cfgs/FP,10.163,Girona,90
2023-2024,2023,994,Biotecnologia,Grau,UdG,Pau/cfgs/FP,10.422,Girona,60
2023-2024,2023,995,Ciències Ambientals,Grau,UdG,Pau/cfgs/FP,7.875,Girona,60
2023-2024,2023,996,Química,Grau,UdG,Pau/cfgs/FP,7.842,Girona,60
2023-2024,2023,997,Criminologia,Grau,UdG,Pau/cfgs/FP,8.734,Girona,55
2023-2024,2023,998,Ciències Polítiques i de l'Administració,Grau,UdG,Pau/cfgs/FP,6.938,Girona,55
2023-2024,2023,999,Educació Infantil,Grau,UdG,Pau/cfgs/FP,7.142,Girona,80
2023-2024,2023,1000,Educació Primària,Grau,UdG,Pau/cfgs/FP,9.127,Girona,80
2023-2024,2023,1002,"Negocis i Màrqueting Internacionals ""ESCI""",Grau,UPF,Pau/cfgs/FP,9.074,Barcelona,115
2023-2024,2023,1007,Ciències Empresarials - Management,Grau,UPF,Pau/cfgs/FP,11.606,Barcelona,110
2023-2024,2023,1008,Estudis Internacionals d'Economia i Empresa - International Business Economics (docència en Anglès),Grau,UPF,Pau/cfgs/FP,12.620,Barcelona,90
2023-2024,2023,1009,Criminologia i Polítiques Públiques de Prevenció,Grau,UPF,Pau/cfgs/FP,9.200,Barcelona,70
2023-2024,2023,1011,"Administració i Direcció d'Empreses ""Centre Universitari EAE""",Grau,UPC,Pau/cfgs/FP,5.000,Barcelona,90
2023-2024,2023,1016,Enginyeria Elèctrica / Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica (agrupació),Grau,UPC,Pau/cfgs/FP,6.362,Vilanova i la Geltrú,200
2023-2024,2023,1022,Enginyeria de Disseny Industrial i Desenvolupament del Producte,Grau,UPC,Pau/cfgs/FP,7.980,Vilanova i la Geltrú,100
2023-2024,2023,1025,Enginyeria Alimentària,Grau,UPC,Pau/cfgs/FP,6.538,Castelldefels,55
2023-2024,2023,1026,Enginyeria de Sistemes Biològics,Grau,UPC,Pau/cfgs/FP,9.430,Castelldefels,55
2023-2024,2023,1030,Enginyeria de Sistemes Audiovisuals,Grau,UPC,Pau/cfgs/FP,6.388,Terrassa,60
2023-2024,2023,1031,Enginyeria de Tecnologia i Disseny Tèxtil / Enginyeria Elèctrica / Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica / Enginyeria Química (agrupació),Grau,UPC,Pau/cfgs/FP,7.904,Terrassa,270
2023-2024,2023,1040,Enginyeria Mecànica,Grau,UPC,Pau/cfgs/FP,9.136,Barcelona/Sant Adrià de Besòs,235
2023-2024,2023,1046,Matemàtiques,Grau,UPC,Pau/cfgs/FP,12.925,Barcelona,75
2023-2024,2023,1047,"Disseny ""BAU""",Grau,UVic,Pau/cfgs/FP,8.906,Barcelona,160
2023-2024,2023,1049,Infermeria (Campus Bellvitge),Grau,UB,Pau/cfgs/FP,11.228,L'Hospitalet de Llobregat,395
2023-2024,2023,1050,"Infermeria ""Sant Joan de Déu""",Grau,UB,Pau/cfgs/FP,9.542,Esplugues de Llobregat,220
2023-2024,2023,1051,Podologia,Grau,UB,Pau/cfgs/FP,8.830,L'Hospitalet de Llobregat,80
2023-2024,2023,1055,Educació Primària,Grau,UB,Pau/cfgs/FP,8.894,Barcelona,450
2023-2024,2023,1056,Educació Infantil,Grau,UB,Pau/cfgs/FP,8.570,Barcelona,200
2023-2024,2023,1057,Antropologia Social i Cultural,Grau,UB,Pau/cfgs/FP,5.000,Barcelona,120
2023-2024,2023,1058,Història,Grau,UB,Pau/cfgs/FP,5.000,Barcelona,255
2023-2024,2023,1059,Història de l'Art,Grau,UB,Pau/cfgs/FP,5.000,Barcelona,170
2023-2024,2023,1060,Geologia,Grau,UB,Pau/cfgs/FP,5.000,Barcelona,60
2023-2024,2023,1061,Enginyeria Informàtica,Grau,UB,Pau/cfgs/FP,10.362,Barcelona,70
2023-2024,2023,1062,Educació Social,Grau,UB,Pau/cfgs/FP,8.980,Barcelona,180
2023-2024,2023,1063,Medicina (Campus Clínic),Grau,UB,Pau/cfgs/FP,13.040,Barcelona,200
2023-2024,2023,1064,Odontologia,Grau,UB,Pau/cfgs/FP,12.574,L'Hospitalet de Llobregat,120
2023-2024,2023,1065,Pedagogia,Grau,UB,Pau/cfgs/FP,8.255,Barcelona,240
2023-2024,2023,1066,Treball Social,Grau,UB,Pau/cfgs/FP,7.884,Barcelona,240
2023-2024,2023,1067,Psicologia,Grau,UB,Pau/cfgs/FP,10.084,Barcelona,432
2023-2024,2023,1068,Química,Grau,UB,Pau/cfgs/FP,10.074,Barcelona,180
2023-2024,2023,1069,Ciències Polítiques i de l'Administració,Grau,UB,Pau/cfgs/FP,7.566,Barcelona,100
2023-2024,2023,1072,Dret,Grau,UB,Pau/cfgs/FP,9.720,Barcelona,430
2023-2024,2023,1073,Farmàcia,Grau,UB,Pau/cfgs/FP,11.192,Barcelona,340
2023-2024,2023,1074,Estudis Anglesos (docència en Anglès),Grau,UB,Pau/cfgs/FP,6.516,Barcelona,160
2023-2024,2023,1075,Estudis Literaris,Grau,UB,Pau/cfgs/FP,7.816,Barcelona,100
2023-2024,2023,1076,Filologia Catalana,Grau,UB,Pau/cfgs/FP,5.000,Barcelona,70
2023-2024,2023,1077,Enginyeria Electrònica de Telecomunicació,Grau,UB,Pau/cfgs/FP,8.692,Barcelona,40
2023-2024,2023,1078,Enginyeria Química,Grau,UB,Pau/cfgs/FP,10.698,Barcelona,70
2023-2024,2023,1079,Ciències de l'Activitat Física i de l'Esport,Grau,UB,Pau/cfgs/FP,9.196,Barcelona,150
2023-2024,2023,1080,Teràpia Ocupacional EUIT de Terrassa,Grau,UAB,Pau/cfgs/FP,5.000,Terrassa,80
2023-2024,2023,1081,Informàtica i Serveis,Grau,UAB,Pau/cfgs/FP,5.000,Sant Cugat del Vallès,50
2023-2024,2023,1082,"Enginyeria en Organització Industrial ""EU Salesiana de Sarrià""",Grau,UAB,Pau/cfgs/FP,6.220,Barcelona,45
2023-2024,2023,1083,Microbiologia,Grau,UAB,Pau/cfgs/FP,11.270,Cerdanyola del Vallès,60
2023-2024,2023,1084,Geologia,Grau,UAB,Pau/cfgs/FP,6.170,Cerdanyola del Vallès,40
2023-2024,2023,1085,Pedagogia,Grau,UAB,Pau/cfgs/FP,8.906,Cerdanyola del Vallès,75
2023-2024,2023,1086,Ciència Política i Gestió Pública,Grau,UAB,Pau/cfgs/FP,8.122,Cerdanyola del Vallès,80
2023-2024,2023,1087,Sociologia,Grau,UAB,Pau/cfgs/FP,6.758,Cerdanyola del Vallès,110
2023-2024,2023,1089,Filosofia,Grau,UAB,Pau/cfgs/FP,5.000,Cerdanyola del Vallès,70
2023-2024,2023,1090,Traducció i Interpretació -Anglès-,Grau,UAB,Pau/cfgs/FP,6.995,Cerdanyola del Vallès,140
2023-2024,2023,1091,Història,Grau,UAB,Pau/cfgs/FP,5.000,Cerdanyola del Vallès,140
2023-2024,2023,1092,Traducció i Interpretació -Francès-,Grau,UAB,Pau/cfgs/FP,5.000,Cerdanyola del Vallès,50
2023-2024,2023,1093,Traducció i Interpretació -Alemany-,Grau,UAB,Pau/cfgs/FP,5.000,Cerdanyola del Vallès,40
2023-2024,2023,1095,Gestió Aeronàutica,Grau,UAB,Pau/cfgs/FP,8.662,Sabadell,65
2023-2024,2023,1096,Prevenció i Seguretat Integral,Grau,UAB,Pau/cfgs/FP,5.000,Cerdanyola del Vallès,80
2023-2024,2023,1098,"Fisioteràpia ""Gimbernat""",Grau,UAB,Pau/cfgs/FP,6.062,Sant Cugat del Vallès,240
2023-2024,2023,1099,"Infermeria ""Sant Pau""",Grau,UAB,Pau/cfgs/FP,10.506,Barcelona,85
2023-2024,2023,1100,Infermeria EUIT de Terrassa,Grau,UAB,Pau/cfgs/FP,8.530,Terrassa,165
2023-2024,2023,1101,"Infermeria ""Gimbernat""",Grau,UAB,Pau/cfgs/FP,8.042,Sant Cugat del Vallès,200
2023-2024,2023,1103,Infermeria,Grau,UAB,Pau/cfgs/FP,11.114,Cerdanyola del Vallès,240
2023-2024,2023,1105,Educació Infantil,Grau,UAB,Pau/cfgs/FP,8.532,Cerdanyola del Vallès,130
2023-2024,2023,1106,Educació Primària,Grau,UAB,Pau/cfgs/FP,9.620,Cerdanyola del Vallès,180
2023-2024,2023,1107,"Enginyeria Electrònica Industrial i Automàtica ""EU Salesiana de Sarrià""",Grau,UAB,Pau/cfgs/FP,5.806,Barcelona,35
2023-2024,2023,1109,"Enginyeria Mecànica ""EU Salesiana de Sarrià""",Grau,UAB,Pau/cfgs/FP,6.740,Barcelona,40
2023-2024,2023,1110,Genètica,Grau,UAB,Pau/cfgs/FP,11.950,Cerdanyola del Vallès,60
2023-2024,2023,1114,Logopèdia,Grau,UAB,Pau/cfgs/FP,8.464,Cerdanyola del Vallès,80
2023-2024,2023,1116,Turisme,Grau,UAB,Pau/cfgs/FP,5.000,Cerdanyola del Vallès,100
2023-2024,2023,1122,"Turisme ""CETT""",Grau,UB,Pau/cfgs/FP,5.000,Barcelona,180
2023-2024,2023,1123,Criminologia,Grau,UB,Pau/cfgs/FP,9.421,Barcelona,140
2023-2024,2023,1124,Relacions Laborals,Grau,UB,Pau/cfgs/FP,7.890,Barcelona,150
2023-2024,2023,1126,Filologia Clàssica,Grau,UB,Pau/cfgs/FP,5.000,Barcelona,60
2023-2024,2023,1127,Filologia Hispànica,Grau,UB,Pau/cfgs/FP,5.000,Barcelona,120
2023-2024,2023,1129,Lingüística,Grau,UB,Pau/cfgs/FP,5.000,Barcelona,60
2023-2024,2023,1130,Llengües i Literatures Modernes,Grau,UB,Pau/cfgs/FP,5.000,Barcelona,100
2023-2024,2023,1131,Física,Grau,UB,Pau/cfgs/FP,12.114,Barcelona,162
2023-2024,2023,1134,Estadística,Grau,UB,Pau/cfgs/FP,9.970,Barcelona,50
2023-2024,2023,1135,Ciències Biomèdiques,Grau,UAB,Pau/cfgs/FP,12.414,Cerdanyola del Vallès,60
2023-2024,2023,1136,Matemàtiques,Grau,UB,Pau/cfgs/FP,12.542,Barcelona,70
2023-2024,2023,1138,Educació Infantil,Grau,URV,Pau/cfgs/FP,7.468,Tarragona,80
2023-2024,2023,1139,Educació Primària,Grau,URV,Pau/cfgs/FP,8.850,Tarragona,80
2023-2024,2023,1140,Administració i Direcció d'Empreses,Grau,URV,Pau/cfgs/FP,7.522,Reus,140
2023-2024,2023,1141,Economia,Grau,URV,Pau/cfgs/FP,7.238,Reus,50
2023-2024,2023,1142,Finances i Comptabilitat,Grau,URV,Pau/cfgs/FP,5.176,Reus,115
2023-2024,2023,1143,Dret,Grau,URV,Pau/cfgs/FP,8.216,Tarragona,135
2023-2024,2023,1146,Educació Infantil,Grau,URV,Pau/cfgs/FP,5.000,Tortosa,40
2023-2024,2023,1147,Educació Infantil,Grau,URV,Pau/cfgs/FP,7.146,el Vendrell,40
2023-2024,2023,1149,Educació Primària,Grau,URV,Pau/cfgs/FP,6.648,Tortosa,40
2023-2024,2023,1151,Administració i Direcció d'Empreses,Grau,URV,Pau/cfgs/FP,6.444,Tortosa,45
2023-2024,2023,1166,Educació Infantil,Grau,UdL,Pau/cfgs/FP,5.000,Lleida,90
2023-2024,2023,1168,Educació Social,Grau,UdL,Pau/cfgs/FP,7.789,Lleida,80
2023-2024,2023,1169,Dret,Grau,UdL,Pau/cfgs/FP,7.373,Lleida,115
2023-2024,2023,1170,Administració i Direcció d'Empreses,Grau,UdL,Pau/cfgs/FP,7.229,Lleida,120
2023-2024,2023,1172,Treball Social,Grau,UdL,Pau/cfgs/FP,6.270,Lleida,80
2023-2024,2023,1174,Ciències Biomèdiques,Grau,UdL,Pau/cfgs/FP,11.972,Lleida,45
2023-2024,2023,1178,Relacions Laborals i Recursos Humans,Grau,UdL,Pau/cfgs/FP,5.000,Lleida,30
2023-2024,2023,1179,Medicina,Grau,UdL,Pau/cfgs/FP,12.680,Lleida,132
2023-2024,2023,1180,Nutrició Humana i Dietètica,Grau,UdL,Pau/cfgs/FP,7.779,Lleida,45
2023-2024,2023,1181,Ciències de l'Activitat Física i de l'Esport,Grau,UdL,Pau/cfgs/FP,6.200,Lleida,95
2023-2024,2023,1193,Gestió i Administració Pública,Grau,UB,Pau/cfgs/FP,7.580,Barcelona,80
2023-2024,2023,1195,Enginyeria Informàtica / Matemàtiques (simultaneïtat),Grau,UB,Pau/cfgs/FP,12.920,Barcelona,20
2023-2024,2023,1196,Física / Matemàtiques (simultaneïtat),Grau,UB,Pau/cfgs/FP,13.318,Barcelona,20
2023-2024,2023,1197,Física / Matemàtiques (simultaneïtat),Grau,UAB,Pau/cfgs/FP,13.436,Cerdanyola del Vallès,20
2023-2024,2023,1215,"Formació del Professorat de Secundària i Batxillerat, Formació Professional i Ensenyament d'Idiomes - Especialitat en Anglès (semipresencial)",Màster Universitari,UdL,Titulats universitaris,5.000,Lleida,30
2023-2024,2023,1226,"Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat, Formació Professional i Ensenyaments d'Idiomes - Especialitat en Educació Física (semipresencial)",Màster Universitari,UVic,Titulats universitaris,7.597,Vic,30
2023-2024,2023,1249,"Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat, Formació Professional i Ensenyament d'Idiomes - Especialitat en Biologia - Geologia (presencial)",Màster Universitari,UdG,Titulats universitaris,7.200,Girona,15
2023-2024,2023,1252,"Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat, Formació Professional i Ensenyament d'Idiomes - Especialitat en Anglès (semipresencial)",Màster Universitari,URV,Titulats universitaris,6.680,Tarragona,30
2023-2024,2023,1255,"Formació del Professorat d'Educació Secundària Obligatòria i Batxillerat, Formació Professional i Ensenyament d'Idiomes - Especialitat en Anglès (semipresencial)",Màster Universitari,URL,Titulats universitaris,5.000,Barcelona,30
2023-2024,2023,1357,"Arts i Disseny ""Massana""",Grau,UAB,Pau/cfgs/FP,6.720,Barcelona,95
2023-2024,2023,1360,Química,Grau,UAB,Pau/cfgs/FP,9.582,Cerdanyola del Vallès,120
2023-2024,2023,1361,Economia,Grau,UAB,Pau/cfgs/FP,8.804,Cerdanyola del Vallès,135
2023-2024,2023,1362,Administració i Direcció d'Empreses,Grau,UAB,Pau/cfgs/FP,9.786,Cerdanyola del Vallès,160
2023-2024,2023,1364,Medicina,Grau,UAB,Pau/cfgs/FP,12.713,Cerdanyola del Vallès,385
2023-2024,2023,1365,Psicologia,Grau,UAB,Pau/cfgs/FP,9.870,Cerdanyola del Vallès,360
2023-2024,2023,1366,Veterinària,Grau,UAB,Pau/cfgs/FP,11.987,Cerdanyola del Vallès,115
2023-2024,2023,1367,Ciència i Tecnologia dels Aliments,Grau,UAB,Pau/cfgs/FP,9.266,Cerdanyola del Vallès,70
2023-2024,2023,1368,Enginyeria Informàtica,Grau,UAB,Pau/cfgs/FP,9.734,Cerdanyola del Vallès,190
2023-2024,2023,1376,Ciència i Tecnologia dels Aliments,Grau,UB,Pau/cfgs/FP,8.738,Santa Coloma de Gramenet,80
2023-2024,2023,1378,Enginyeria Biomèdica,Grau,UB,Pau/cfgs/FP,12.611,Barcelona,40
2023-2024,2023,1379,Enginyeria de Materials,Grau,UB,Pau/cfgs/FP,8.128,Barcelona,40
2023-2024,2023,1380,Filosofia,Grau,UB,Pau/cfgs/FP,5.840,Barcelona,200
2023-2024,2023,1381,Arqueologia,Grau,UB,Pau/cfgs/FP,5.000,Barcelona,75
2023-2024,2023,1383,Nutrició Humana i Dietètica,Grau,UB,Pau/cfgs/FP,10.292,Santa Coloma de Gramenet,60
2023-2024,2023,1384,Sociologia,Grau,UB,Pau/cfgs/FP,7.210,Barcelona,130
2023-2024,2023,1386,Administració i Direcció d'Empreses,Grau,UB,Pau/cfgs/FP,9.314,Barcelona,780
2023-2024,2023,1387,Psicologia,Grau,UVic,Pau/cfgs/FP,8.167,Vic,120
2023-2024,2023,1391,Biologia,Grau,UVic,Pau/cfgs/FP,7.484,Vic,50
2023-2024,2023,1394,"Administració d'Empreses i Gestió de la Innovació ""Tecnocampus""",Grau,UPF,Pau/cfgs/FP,7.640,Mataró,70
2023-2024,2023,1395,"Infermeria ""Tecnocampus""",Grau,UPF,Pau/cfgs/FP,9.288,Mataró,90
2023-2024,2023,1396,Enginyeria Informàtica,Grau,UdL,Pau/cfgs/FP,7.608,Lleida,60
2023-2024,2023,1399,Ciència i Tecnologia dels Aliments,Grau,UdL,Pau/cfgs/FP,5.000,Lleida,40
2023-2024,2023,1400,Fisioteràpia,Grau,UdL,Pau/cfgs/FP,10.798,Lleida,25
2023-2024,2023,1401,Enginyeria Agrària i Alimentària,Grau,UdL,Pau/cfgs/FP,5.979,Lleida,60
2023-2024,2023,1402,Enginyeria Forestal,Grau,UdL,Pau/cfgs/FP,5.000,Lleida,40
2023-2024,2023,1403,Turisme,Grau,UdL,Pau/cfgs/FP,5.000,Lleida,35
2023-2024,2023,1404,Pedagogia,Grau,UdG,Pau/cfgs/FP,8.300,Girona,60
2023-2024,2023,1405,Administració i Direcció d'Empreses,Grau,UdG,Pau/cfgs/FP,9.074,Girona,100
2023-2024,2023,1406,Economia,Grau,UdG,Pau/cfgs/FP,8.256,Girona,50
2023-2024,2023,1407,Comptabilitat i Finances,Grau,UdG,Pau/cfgs/FP,7.366,Girona,140
2023-2024,2023,1408,Treball Social,Grau,UdG,Pau/cfgs/FP,7.596,Girona,60
2023-2024,2023,1409,Enginyeria Agroalimentària,Grau,UdG,Pau/cfgs/FP,6.788,Girona,40
2023-2024,2023,1410,Enginyeria Elèctrica,Grau,UdG,Pau/cfgs/FP,6.125,Girona,40
2023-2024,2023,1411,Enginyeria en Tecnologies Industrials,Grau,UdG,Pau/cfgs/FP,7.347,Girona,70
2023-2024,2023,1412,Enginyeria Informàtica,Grau,UdG,Pau/cfgs/FP,8.350,Girona,100
2023-2024,2023,1413,Arquitectura,Grau,URV,Pau/cfgs/FP,8.881,Reus,60
2023-2024,2023,1415,Enginyeria Mecànica,Grau,URV,Pau/cfgs/FP,7.486,Tarragona,65
2023-2024,2023,1417,Enginyeria Electrònica Industrial i Automàtica,Grau,URV,Pau/cfgs/FP,6.044,Tarragona,80
2023-2024,2023,1418,Enginyeria Elèctrica,Grau,URV,Pau/cfgs/FP,5.700,Tarragona,50
2023-2024,2023,1419,Nutrició Humana i Dietètica,Grau,URV,Pau/cfgs/FP,7.511,Reus,85
2023-2024,2023,1420,Fisioteràpia,Grau,URV,Pau/cfgs/FP,10.082,Reus,80
2023-2024,2023,1421,Enginyeria Informàtica,Grau,URV,Pau/cfgs/FP,7.923,Tarragona,110
2023-2024,2023,1422,Enginyeria Química,Grau,URV,Pau/cfgs/FP,8.650,Tarragona,80
2023-2024,2023,1445,Enginyeria de Disseny Industrial i Desenvolupament del Producte,Grau,UPC,Pau/cfgs/FP,10.722,Terrassa,60
2023-2024,2023,1447,Enginyeria de Materials,Grau,UPC,Pau/cfgs/FP,7.812,Barcelona/Sant Adrià de Besòs,40
2023-2024,2023,1449,Enginyeria en Sistemes i Tecnologia Naval,Grau,UPC,Pau/cfgs/FP,8.000,Barcelona,60
2023-2024,2023,1453,Enginyeria en Vehicles Aeroespacials,Grau,UPC,Pau/cfgs/FP,12.336,Terrassa,60
2023-2024,2023,1456,Enginyeria Informàtica,Grau,UPC,Pau/cfgs/FP,10.596,Barcelona,360
2023-2024,2023,1457,Enginyeria Informàtica,Grau,UPC,Pau/cfgs/FP,9.390,Vilanova i la Geltrú,55
2023-2024,2023,1459,Tecnologies Marines,Grau,UPC,Pau/cfgs/FP,6.552,Barcelona,40
2023-2024,2023,1460,Nàutica i Transport Marítim,Grau,UPC,Pau/cfgs/FP,7.885,Barcelona,50
2023-2024,2023,1552,Dret,Grau,UAB,Pau/cfgs/FP,9.666,Cerdanyola del Vallès,200
2023-2024,2023,1553,Empresa i Tecnologia,Grau,UAB,Pau/cfgs/FP,9.278,Sabadell,80
