service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
9010201_9__1__013_,0,0,0,0,0,1,0,2025-09-13,2026-10-11
9010202_9__1__013_,0,0,0,0,0,1,0,2025-09-13,2026-10-11
9010301_9__1__013_,0,0,0,0,0,0,1,2025-09-14,2026-10-12
9010101_9__1__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
9010102_9__1__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
9010103_9__1__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
9040102_9__1__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
9020201_9__2__013_,0,0,0,0,0,1,0,2025-09-13,2026-10-11
9020202_9__2__013_,0,0,0,0,0,1,0,2025-09-13,2026-10-11
9030201_9__2__013_,0,0,0,0,0,1,0,2025-09-13,2026-10-11
